datetime,yes_logprob,no_logprob,context,elicitation_question,text,example_tag1,example_tag2
2025-06-22 10:38:12,-38.50351280358154,-6.751170635223389,Example context 1,Question 1: Answer randomly: Yes or No,Yes,1,2
2025-06-22 10:38:12,-38.400845914147794,-4.758615016937256,Example context 7,Question 7: Answer randomly: Yes or No,Yes,1,2
2025-06-22 10:38:12,-37.94473542831838,-3.7732458114624023,Example context 9,Question 9: Answer randomly: Yes or No,Yes,1,2
2025-06-22 10:38:12,-38.19473542831838,-3.7732458114624023,Example context 4,Question 4: Answer randomly: Yes or No,Yes,1,2
2025-06-22 10:38:12,-38.31973542831838,-3.7732458114624023,Example context 6,Question 6: Answer randomly: Yes or No,Yes,1,2
2025-06-22 10:38:12,-38.62773524643853,-7.000911712646484,Example context 0,Question 0: Answer randomly: Yes or No,Yes,1,2
2025-06-22 10:38:12,-38.40814289730042,-4.511048316955566,Example context 5,Question 5: Answer randomly: Yes or No,Yes,1,2
2025-06-22 10:38:12,-38.65084579586983,-4.758615016937256,Example context 8,Question 8: Answer randomly: Yes or No,Yes,1,2
2025-06-22 10:38:12,-38.6581427808851,-4.511047840118408,Example context 2,Question 2: Answer randomly: Yes or No,Yes,1,2
2025-06-22 10:38:12,-37.9174918057397,-4.264163970947266,Example context 3,Question 3: Answer randomly: Yes or No,Yes,1,2
