question,answer
"At any specific time, the rate at which a reaction is proceeding is known as its what?",instantaneous rate
What are the only plants with a life cycle in which the gametophyte generation is dominant?,nonvascular
Where do most red algae species live?,oceans
All elements are most stable when their outermost shell is filled with electrons according to which rule?,octet rule
What produces microspores that develop into pollen grains containing male gametophytes?,stamens
What function of the car is affected by the pedal that controls the amount of gas the engine gets?,acceleration
"Catabolic reactions break down large organic molecules into smaller molecules, releasing the energy contained in what?",chemical bonds
Systemic veins return blood low in what to the right atrium?,oxygen
Cancer cells take up glucose for what reason?,energy
"Deficiency of what is symptomized by nausea, fatigue and dizziness, and can be triggered by excessive sweating?",electrolytes
Transition metals are superior conductors of heat as well as what else?,electricity
Two species that share what cannot coexist in a community?,same niche
"What kind of joints are capable of a wide range of movements, classified as gliding, angular, rotational, or special?",synovial
What chemical affects the onset of puberty and duration?,hormones
The superior nasal concha and middle nasal concha are parts of which bone?,ethmoid bone
The ether functional group consists of an oxygen atom which forms single bonds with what other atoms?,carbon
The first consumption of breast milk or formula floods the baby's gastrointestinal tract with what?,beneficial bacteria
"Cirrus, stratus, and cumulus are the main types of what?",clouds
What are materials that have a low resistance to electrical current called?,electrical conductors
The hormone androgen increases aggressiveness and promotes what type of behaviors?,sexual
How do plants and algae both make food?,photosynthesis
What causes waves to bring sand up onto the beach during summers?,low energy
Which layer is found below the lithosphere?,asthenosphere
"During the early paleozoic, the amount of carbon dioxide in the atmosphere compared to today was?",much greater
The base in an antacid reacts to do what to excess stomach acid?,neutralize it
Illnesses caused by bacteria in food are commonly known as what?,food poisoning
What type of constraints are placed on technological design?,physical and social
"What take the shape of their container, and are relatively easy to compress?",gases
Name the process of removing wastes from the body.,excretion
Chloroplasts are present only in cells of eukaryotes capable of what process?,photosynthesis
What is the term for heterotrophs that eat only or mainly animals?,carnivores
What happens to an animal's telomeres as it ages?,shorten
Where do biochemical reactions occer?,inside organisms
Different shapes often correlate with different what in cells?,functions
Photosynthesis is initiated by what hitting plants?,sunlight
What may have developed to help our ancestors distinguish between ripe and unripe fruits?,color vision
What type of stress causes horizontal motions in strike-slip faults?,shear
What does the sebaceous gland secrete which waterproofs the skin and hair?,sebum
What term refers to the deliberate prevention of pregnancy?,contraception
How can nuclear fusion in stars be simulated?,particle accelerators
During what are deletions and duplications especially likely to occur?,meiosis
Primary alcohols are oxidized to form what?,aldehydes
What is the measure of the force of gravity pulling down on an object called?,weight
What part of the brain regulates certain hormones associated with reproduction during breeding seasons?,hypothalamus
What is the liquid inside the central vacuole called?,cell sap
"What is a collection of fibrin, platelets, and erythrocytes that has accumulated along the lining of a blood vessel called?",thrombus
"In addition to insects, what large invertebrate phylum includes animals such as spiders, centipedes, and lobsters?",arthropoda
The earliest vertebrates were jawless what?,fish
Chemical reactions either require or release what?,energy
How many years ago may the earliest fungi have evolved?,600 million
What can help scientist gather information for an investigation?,observations
What is the name given to the use of controlled nuclear fusion as an energy source?,thermonuclear power
What is it called when waves interact with other waves?,wave interference
A changing magnetic field produces an electric current in what?,a conductor
What is a species that plays an especially important role in it's community called?,keystone
"There are about 50,000 vertebrate species, and they are placed in how many different classes?",nine
"What is the term for when gravity pulls soil, mud, and rocks down cliffs and hillsides?",mass movement
Crude oil is a mixture of different types of what?,hydrocarbons
Particles of different densities exert different amounts of what?,pressure
How are valuable metabolites recovered?,reabsorption
Echinoderms are marine organisms that make up which phylum?,echinodermata
Bicarbonate is the second most abundant anion in the blood. its principal function is to maintain your body’s acid-base balance by being part of these?,buffer systems
What is the other name of newton’s first law?,law of inertia
